#NUM_TEST time/i M/i/s
1 4017.26 0.332
2 3856.4 0.32799999999999996
3 4144.43 0.3059999999999999
4 3782.12 0.335
5 4180.92 0.3170000000000001
6 4127.19 0.3129999999999998
7 3915.75 0.33199999999999996
8 3789.09 0.3289999999999999
9 3820.31 0.3419999999999998
10 3895.71 0.323999999999999
